iter	Passed	Remaining
400	28063	41920
401	28132	41848
402	28210	41791
403	28275	41713
404	28335	41628
405	28406	41560
406	28472	41484
407	28549	41425
408	28636	41379
409	28707	41311
410	28785	41252
411	28875	41210
412	28943	41137
413	29027	41087
414	29090	41007
415	29167	40946
416	29229	40865
417	29291	40784
418	29357	40707
419	29420	40627
420	29490	40557
421	29572	40505
422	29664	40464
423	29750	40415
424	29829	40357
425	29914	40306
426	29995	40251
427	30078	40198
428	30153	40134
429	30238	40083
430	30313	40019
431	30385	39950
432	30462	39889
433	30538	39826
434	30628	39781
435	30711	39727
436	30796	39675
437	30876	39617
438	30952	39554
439	31027	39489
440	31122	39449
441	31193	39380
442	31265	39311
443	31356	39266
444	31453	39228
445	31555	39196
446	31626	39125
447	31705	39066
448	31780	39000
449	31856	38935
450	31928	38865
451	32001	38798
452	32073	38729
453	32141	38654
454	32212	38584
455	32279	38509
456	32358	38447
457	32434	38383
458	32509	38317
459	32592	38260
460	32661	38188
461	32753	38141
462	32834	38081
463	32913	38021
464	32984	37949
465	33054	37877
466	33128	37810
467	33188	37727
468	33260	37657
469	33325	37579
470	33399	37512
471	33471	37442
472	33543	37373
473	33625	37314
474	33706	37254
475	33797	37205
476	33871	37138
477	33946	37070
478	34039	37024
479	34121	36965
480	34189	36890
481	34259	36818
482	34325	36742
483	34395	36669
484	34468	36600
485	34535	36525
486	34606	36454
487	34682	36388
488	34753	36317
489	34823	36245
490	34905	36184
491	34983	36121
492	35057	36053
493	35128	35981
494	35192	35903
495	35261	35829
496	35327	35753
497	35387	35671
498	35460	35602
499	35535	35535
500	35620	35478
501	35694	35409
502	35775	35348
503	35862	35293
504	35963	35250
505	36050	35195
506	36130	35133
507	36201	35061
508	36270	34987
509	36339	34914
510	36409	34842
511	36481	34771
512	36546	34693
513	36613	34619
514	36684	34547
515	36749	34470
516	36819	34397
517	36880	34317
518	36958	34252
519	37027	34179
520	37095	34104
521	37161	34029
522	37234	33959
523	37294	33878
524	37359	33801
525	37438	33737
526	37514	33670
