iter	RMSE
160	0.2605269272
161	0.2601326052
162	0.2598155467
163	0.2594387087
164	0.2591990442
165	0.258848725
166	0.2584527737
167	0.2580675237
168	0.2577853043
169	0.2575166655
170	0.2572137466
171	0.2568392189
172	0.2565138846
173	0.2561493208
174	0.2558378612
175	0.2555518002
176	0.2552940678
177	0.2550506701
178	0.25475257
179	0.2543913599
180	0.2541479585
181	0.253331271
182	0.2530423072
183	0.252721102
184	0.2521301886
185	0.2518240735
186	0.2515463562
187	0.2512753647
188	0.2509625359
189	0.2503714157
190	0.2501245724
191	0.2497019592
192	0.2489593298
193	0.2487255606
194	0.2485394049
195	0.2482580765
196	0.2475644889
197	0.2473588274
198	0.2466815201
199	0.2460496062
200	0.2458653993
201	0.2452334905
202	0.2448530482
203	0.2445995768
204	0.2444086287
205	0.24399918
206	0.243583133
207	0.2430990757
208	0.2424809159
209	0.2421176048
210	0.2413634023
211	0.241024076
212	0.2404580534
213	0.2399008018
214	0.2395586206
215	0.2393971484
216	0.2389175376
217	0.2386642468
218	0.2384178616
219	0.2381647856
220	0.2379794362
221	0.2373263909
222	0.2369717023
223	0.236524293
224	0.2361555817
225	0.2356727839
226	0.2354283219
227	0.2351430852
228	0.2348486371
229	0.2344625684
230	0.2341929608
231	0.2335521872
232	0.2332769525
233	0.2329916574
234	0.2326252847
235	0.2322997193
236	0.2319433304
237	0.2314341567
238	0.2312088159
239	0.2309309814
240	0.2306572974
241	0.2304419121
242	0.2301342312
243	0.2296529159
244	0.2294487825
245	0.2292286805
246	0.2290067972
247	0.2288179221
248	0.2284405573
249	0.2280519149
250	0.2279222428
251	0.2276953678
252	0.227562421
253	0.2272779243
254	0.2271115178
255	0.2269860831
256	0.2268651536
257	0.2267526745
258	0.2266329786
259	0.2265280749
260	0.22630575
261	0.2261957534
262	0.2260089468
263	0.22574414
264	0.2256005512
265	0.2253639081
266	0.2252684674
267	0.2251689694
268	0.2249740842
269	0.2245214151
270	0.2241078671
271	0.2240131696
272	0.2238026864
273	0.2236785752
274	0.2236099941
275	0.2234430832
276	0.2232827939
277	0.2231978218
278	0.2230754619
279	0.2229045344
280	0.2227600791
281	0.2226115203
282	0.2224604908
283	0.2223789435
284	0.222210437
285	0.2220239901
286	0.2219210794
287	0.2218118566
288	0.2216502213
289	0.2215424374
290	0.2214042863
291	0.2213335365
292	0.2211767925
293	0.2210474511
294	0.2209425913
295	0.2208984672
296	0.2207740017
297	0.2206694421
298	0.2205185844
299	0.2204156583
300	0.2202862787
301	0.2201909589
302	0.2200967337
303	0.2200077128
304	0.2199023457
305	0.2198180661
306	0.2197108624
307	0.2196875842
308	0.219562127
309	0.2194093617
310	0.2192506793
311	0.2191720477
312	0.2190858802
313	0.2189955557
314	0.2189154363
315	0.2187862042
316	0.2187175232
317	0.2185874755
318	0.2184951035
319	0.2184210334
320	0.2183428244
321	0.2182407055
322	0.2181135517
323	0.2180442514
324	0.2179817709
325	0.217962274
326	0.2179010781
327	0.2178197445
328	0.2177079728
329	0.217635761
330	0.2175061805
331	0.217443308
332	0.217348511
333	0.2172510954
334	0.2171357974
335	0.2170170614
336	0.2170038301
337	0.2169275933
338	0.2168676241
339	0.2168536873
340	0.2167141343
341	0.2167026621
342	0.2166865757
343	0.2166115342
344	0.2165295447
345	0.2163961927
346	0.2163088163
347	0.2162254077
348	0.2161685386
349	0.2160930477
350	0.2160134654
351	0.2159308449
352	0.2158782113
353	0.2157384171
354	0.2156766109
355	0.2156685641
356	0.2155679658
357	0.2155155674
358	0.215510418
359	0.2154419018
360	0.2154393157
361	0.215351748
362	0.215349262
363	0.2152975622
364	0.2152956463
365	0.2152270792
366	0.2152227337
367	0.2152190644
368	0.2152125056
369	0.2152108218
370	0.2151448978
371	0.2151414198
372	0.2150567244
373	0.2150527755
374	0.215051211
375	0.2149987614
376	0.2149943325
377	0.214987262
378	0.2149294553
379	0.2148544993
380	0.2147614944
381	0.214688239
382	0.2146868618
383	0.2146855635
384	0.2146125576
385	0.2146113145
386	0.214545099
387	0.2144682593
388	0.2144648133
389	0.2143932897
390	0.2143016779
391	0.2142988761
392	0.2142209286
393	0.2141606621
394	0.214092336
395	0.2140886693
396	0.2140240101
397	0.2140214602
398	0.2140154199
399	0.2140115945
400	0.2140091815
401	0.2140068341
402	0.2139536781
403	0.2139481754
404	0.2139331493
405	0.2139159009
406	0.2138078818
407	0.2137444417
408	0.213694706
409	0.2136618474
410	0.2136193286
411	0.2136171607
412	0.2135279863
413	0.2135258947
414	0.2135238585
415	0.2135219028
416	0.2135199625
417	0.2135180723
418	0.213498144
419	0.213411486
420	0.2133638435
421	0.2132902199
422	0.2131908833
423	0.213128063
424	0.2130816271
425	0.2129845468
426	0.2129395406
427	0.2129377966
428	0.2129361027
429	0.2128769034
430	0.2127694924
431	0.2127678346
432	0.2126651619
433	0.2126141765
434	0.2125572706
435	0.2124810232
436	0.2124167063
437	0.2124151584
438	0.212373517
439	0.2123666217
440	0.2123216419
441	0.2122778323
442	0.2122276328
443	0.2121508745
444	0.2121011094
445	0.2120593277
446	0.211963304
447	0.211899226
448	0.2118031041
449	0.211757748
450	0.2116872083
451	0.2116199126
452	0.2115876258
453	0.2115237517
454	0.2114711917
455	0.2114056106
456	0.2112737252
457	0.2111882176
458	0.2111357755
459	0.2109177864
460	0.2108584151
461	0.2108261188
462	0.210788749
463	0.2107262522
464	0.2106705756
465	0.2106272196
466	0.2105797765
467	0.2105254415
468	0.2104769198
469	0.2104341799
470	0.2103697139
471	0.2103046844
472	0.2102576044
473	0.2101770488
474	0.2101159075
475	0.2100337818
476	0.2099505087
477	0.2098983187
478	0.2098347376
479	0.2097852834
480	0.2097200424
481	0.2096734265
482	0.2095965023
483	0.2095561748
484	0.2095133649
485	0.2094002534
486	0.2093591072
487	0.2093153732
488	0.2092363931
489	0.2091417758
490	0.2091059597
491	0.209070479
492	0.2090419721
493	0.2089766833
494	0.2089205771
495	0.208861797
496	0.2087809488
497	0.2087253281
498	0.2086842499
499	0.2086246717
500	0.2085903057
501	0.208544168
502	0.2085272306
503	0.2084947408
504	0.2084377187
505	0.20840813
506	0.2083513451
507	0.2082726052
508	0.2081836815
509	0.2081499307
510	0.2081366471
511	0.2080681143
512	0.2080497042
513	0.2079827625
514	0.2079217531
515	0.2078762894
516	0.2078437036
517	0.2078139322
518	0.2075783909
519	0.2075437804
520	0.207500169
521	0.2074507794
522	0.2074176824
523	0.2073903231
524	0.2073578571
525	0.2073474446
526	0.2072952244
527	0.2072730267
528	0.2072479684
529	0.2071940272
530	0.2071590318
531	0.2071343595
532	0.2070942628
533	0.2070559006
534	0.2070146035
535	0.2069755129
536	0.2069495181
537	0.2069308525
538	0.2068926118
539	0.2068017671
540	0.2067406458
541	0.2067113271
542	0.206689397
543	0.206676746
544	0.2066168282
545	0.2065490526
546	0.2064861805
547	0.2064067904
548	0.2063827922
549	0.2063179356
550	0.2062412219
551	0.2062008011
552	0.2061525958
553	0.206102106
554	0.2060499966
555	0.205977534
556	0.2059044627
557	0.2058296813
558	0.2058106616
559	0.2057868854
560	0.2056854989
561	0.2056535711
562	0.2056297667
563	0.2055721173
564	0.205516834
565	0.2054708856
566	0.2054033743
567	0.2053764146
568	0.2052781502
569	0.2052428974
570	0.2052103159
571	0.2051613369
572	0.2051002247
573	0.2050458549
574	0.2049865935
575	0.2049190913
576	0.2048743139
577	0.2048304701
578	0.2047860683
579	0.2047657015
580	0.2047492048
581	0.2047241113
582	0.2046808565
583	0.204661573
584	0.2046017292
585	0.2046015828
586	0.2046013705
587	0.2045411226
588	0.2045407342
589	0.2045189836
590	0.2044643349
591	0.2044172119
592	0.2043625546
593	0.2043623548
594	0.2043220418
595	0.2042884152
596	0.2042142049
597	0.2042141088
598	0.2042140151
599	0.2041620729
600	0.2041241802
601	0.2040876882
602	0.2040657479
603	0.2040260782
604	0.2040085918
605	0.2040084605
606	0.2039918383
607	0.2039916624
608	0.2039282853
609	0.2039281913
610	0.2038968133
611	0.20383827
612	0.2037971832
613	0.2037970774
614	0.2037531774
615	0.2037530753
616	0.2036963248
617	0.2036888407
618	0.2036501779
619	0.2036497171
620	0.2036161937
621	0.2035657815
622	0.2035512853
623	0.2035097911
624	0.2034838908
625	0.2034685987
626	0.2034684661
627	0.2034683604
628	0.2034670636
629	0.2034669828
630	0.2034668842
631	0.2034667422
632	0.2034666534
633	0.2034665368
634	0.2034302054
635	0.2034300794
636	0.2034150098
637	0.2034149351
638	0.2033969674
639	0.2033644951
640	0.2033644216
641	0.2033474245
642	0.20332594
643	0.2033211689
644	0.2033210953
645	0.2033209381
646	0.2033059269
647	0.2032909449
648	0.2032906299
649	0.203236908
650	0.2032201599
651	0.2032145143
652	0.2032144367
653	0.2032048009
654	0.2031655278
655	0.2031654545
656	0.2031653863
657	0.2031282203
658	0.2031281541
659	0.2031068905
660	0.2031068258
661	0.2030733476
662	0.2030603759
663	0.2030603202
664	0.2030380687
665	0.2030380028
666	0.2029701598
667	0.2029700525
668	0.2029283223
669	0.2028988891
670	0.2028558518
671	0.2028557877
672	0.2028279625
673	0.2028000751
674	0.2028000256
675	0.2027811334
676	0.20275116
677	0.20275111
678	0.2027367362
679	0.2027366872
680	0.2027207251
681	0.2026986585
682	0.2026511977
683	0.2026511476
684	0.2026510986
685	0.2026428099
686	0.2026427164
687	0.2026331562
688	0.2026331091
689	0.2025976859
690	0.202546666
691	0.2025349641
692	0.2025089094
693	0.2025088631
694	0.2025087745
695	0.20250873
696	0.2024919427
697	0.2024490686
698	0.2024309086
699	0.2023995208
700	0.202363766
701	0.202362688
702	0.2023626457
703	0.2023373211
704	0.20232599
705	0.2023190286
706	0.2023189854
707	0.2023189431
708	0.2023189016
709	0.2022405595
710	0.2022405201
711	0.2022027861
712	0.2021921693
713	0.2021323423
714	0.2021170081
715	0.2021011156
716	0.2020801986
717	0.2020801568
718	0.2020647099
719	0.2020646692
720	0.2020343998
721	0.202034358
722	0.202021046
723	0.2019968692
724	0.2019968279
725	0.2019967875
726	0.2019592512
727	0.2019250233
728	0.2019155073
729	0.2018803296
730	0.2018465432
731	0.2018465025
732	0.2018114734
733	0.2018114338
734	0.2017762805
735	0.2017762417
736	0.2017317041
737	0.2016999737
738	0.2016677096
739	0.2016190352
740	0.2016027616
741	0.2015761431
742	0.2015761038
743	0.2015760154
744	0.2015759778
745	0.2015732932
746	0.2015732355
747	0.2015602007
748	0.2015428125
749	0.2015138538
750	0.2014999465
751	0.2014686617
752	0.2014390502
753	0.201438991
754	0.2013801204
755	0.2013800835
756	0.201380007
757	0.2013799527
758	0.2013631043
759	0.2013630696
760	0.2013495818
761	0.2013494247
762	0.2013416591
763	0.2013387925
764	0.2013008237
765	0.2012668856
766	0.2012571477
767	0.2012401824
768	0.201207532
769	0.2011969809
770	0.2011847014
771	0.2011720401
772	0.2011449084
773	0.2011106566
774	0.2010714744
775	0.2010077633
776	0.2009657444
777	0.200933982
778	0.200904249
779	0.2008679637
780	0.2008402834
781	0.2008288258
782	0.2008208718
783	0.2008057018
784	0.2007772361
785	0.2007575561
786	0.2007070455
787	0.2007016788
788	0.2006717264
789	0.2006637138
790	0.2006304742
791	0.2006015067
792	0.2005926115
793	0.2005674714
794	0.2005651262
795	0.2005424785
796	0.2005322733
797	0.20051999
798	0.200497965
799	0.2004713089
800	0.2004428113
801	0.2003834744
802	0.2003633316
803	0.2003618315
804	0.2003539531
805	0.2003201233
806	0.2002893636
807	0.2002821221
808	0.2002655451
809	0.2002532595
810	0.200221209
811	0.2002192031
812	0.2002172894
813	0.2001411245
814	0.2001203246
815	0.2000959781
816	0.2000608725
817	0.2000341759
818	0.2000107056
819	0.1999891986
820	0.1999524845
821	0.1999379371
822	0.1999277019
823	0.1999223273
824	0.19992223
825	0.1999027077
826	0.1998792958
827	0.1998549073
828	0.199822824
829	0.1998022342
830	0.1997698605
831	0.1997448935
832	0.1997152661
833	0.1996948443
834	0.1996799381
835	0.1996722457
836	0.1996595043
837	0.1996470269
838	0.1996071037
839	0.1995999825
840	0.1995867886
841	0.1995741972
842	0.1995301592
843	0.1995159103
844	0.1995026291
845	0.1994675681
846	0.1994361888
847	0.199402845
848	0.1993746373
849	0.1993593632
850	0.1993397887
851	0.1993215479
852	0.1993017218
853	0.199294528
854	0.1992899878
855	0.1992620431
856	0.1992541946
857	0.1992405983
858	0.1992264658
859	0.1992023731
860	0.19916019
861	0.1991198596
862	0.1991124177
863	0.1990835822
864	0.1990786531
865	0.1990726822
866	0.199062064
867	0.199061992
868	0.1990331084
869	0.1990284275
870	0.1990027884
871	0.1989923059
872	0.1989922352
873	0.1989753635
874	0.1989749356
875	0.1989748999
876	0.1989696648
877	0.1989692149
878	0.198947611
879	0.1989248923
880	0.1989245013
881	0.1988981035
882	0.1988864903
883	0.1988861085
884	0.1988599978
885	0.1988400567
886	0.198834792
887	0.1988173018
888	0.1987635669
889	0.198735711
890	0.1987128878
891	0.1986902902
892	0.1986732645
893	0.1986608553
894	0.1986466313
895	0.1986194362
896	0.1986032079
897	0.1985706285
898	0.1985705642
899	0.1985496482
900	0.1985492977
901	0.1985166173
902	0.1985108348
903	0.1985021618
904	0.1984767439
905	0.1984646579
906	0.1984379954
907	0.1984379645
908	0.1984186959
909	0.1984105498
910	0.1983983026
911	0.1983982739
912	0.1983729177
913	0.1983728608
914	0.1983728314
915	0.198365806
916	0.1983486176
917	0.1983391398
918	0.1983345564
919	0.1983291702
920	0.1983277696
921	0.198327738
922	0.1983277071
923	0.1983102521
924	0.1982670502
925	0.1982456165
926	0.1982452255
927	0.1982395951
928	0.1981974122
929	0.1981973831
930	0.1981973277
931	0.1981770065
932	0.1981533509
933	0.1981323112
934	0.1981065541
935	0.1980644537
936	0.1980644264
937	0.198060152
938	0.1980601252
939	0.1980541121
940	0.1980339975
941	0.1979891617
942	0.1979891361
943	0.1979713378
944	0.197950087
945	0.1979493926
946	0.1979490215
947	0.1979307281
948	0.1979193217
949	0.1979189629
950	0.1979186293
951	0.1978963961
952	0.1978915641
953	0.1978911954
954	0.1978619077
955	0.1978544246
956	0.1978286306
957	0.1978282856
958	0.1978156117
959	0.1977998901
960	0.1977843169
961	0.1977842055
962	0.1977841846
963	0.197773933
964	0.1977720923
965	0.1977695971
966	0.197761978
967	0.1977619565
968	0.1977554183
969	0.1977553346
970	0.1977421796
971	0.1977343713
972	0.1977306274
973	0.1977232028
974	0.1977231821
975	0.1977105845
976	0.1977105615
977	0.1977105411
978	0.1977105211
979	0.1976953941
980	0.1976720951
981	0.1976719864
982	0.1976716882
983	0.1976551979
984	0.1976254775
985	0.1976202748
986	0.1975959286
987	0.1975958474
988	0.1975938763
989	0.1975707586
990	0.1975490222
991	0.1975009981
992	0.1974966631
993	0.1974965785
994	0.1974764745
995	0.1974760131
996	0.1974755753
997	0.1974639072
998	0.1974332995
999	0.1974157416
